,城市,City,Household Registered Population at Year-end (10 000 persons),Annual Average Population (10 000 persons),Number of Households at Year-end (10 000 households),Birth Population (person),Death Population (person),Natural Growth Rate(%),Total Land Area of Administrative region （sq.km）,Total Water Resources （10 000 cu.m）,Area of Land Used for Urban Construction (sq.km),Area of Land Used for Living,Land Used for Urban Construction as Percentage to Urban Area (%),Area of Green Land (hectare),Area of Parks Green Land,Green Covered Area as % of Built-up Area (%),Volume of Industrial Waste Water Discharged (10 000 tons),Volume of Industrial Sulphur Dioxide Emission (ton),Volume of Industrial Nitrogen Dioxide Emission (ton),Volume of Industrial  Soot(dust) Emission (ton),Ratio of Industrial Solid Wastes Comprehensively Utilized (%),Annual Mean Concentration ofPM2.5 (ug/m3),Ratio of waste Water Centralized Treated of Sewage Work (%),Ratio of Consumption Wastes Treated (%),Gross Regional Product (Current Prices) (100 000 yuan),Per Capita GRP (yuan),GRP Growth Rate (%),Primary Industry as Percentage to GRP,Secondary Industry as Percentage to GRP,Tertiary Industry as Percentage to GRP,Local General public budget revenue,Local General public budget Expenditure,Expenditure for Science and Technology,Expenditure for Education,Local General public budget revenue.1,Local General public budget Expenditure.1,Expenditure for Science and Technology.1,Expenditure for Education.1,Deposits of National Banking System at Year-end,Household Saving Deposits at Year-end,Loans of National Banking System at Year-end,Investment in Real Estate Development,Residential Buildings,Sales Area of Commercial Residential Building,Residential Buildings.1,Area for Sale,Import Volumeof goods (10 OOOyuan),Number of Projects for Contracted Foreign Direct Investment (unit),Amount of Foreign Capital Actually Utilized (USD 10000),Number of Industrial Enterprises,Domestic Funded,"Enterprises with Funds from Hong Kong, Macao and Taiwan",Foreign Funded Enterprises,Total Current Assets,Total Fixed Assets,Tax and Extra Charges from Principal Business,Value-added Tax Payable,Total Profits,Total Retail Sales of Consumer Goods (10 000 yuan),Number of Enterprises above Designated Size of Wholesale and Retail Trades (Number of Legal Entities) (unit),Total Sales of Commodities of Enterprises above Designated Size in Wholesale and Retail Trades (10 000 yuan),R&D Personnel (Person),R&D Internal Outlay (10 000 yuan),Number of Patent Applications (piece),Number of Patent Authorizations (piece),Invention (piece),Persons Employed in Urban Units at Ycar-end,Persons Employed in Private Enterprises and Self-Employed Individuals in Urban Areas,Registered Unemployed Persons in Urban Areas,Primary Industry,Secondary Industry,Tertiary Industry,Primary Industry.1,Secondary Industry.1,Tertiary Industry.1,Primary Industry.2,Secondary Industry: Mining,Unnamed: 87,Manufacturing,"Production and Distribution of Electricity, Gas and Water",Construction,Wholesale and Retail Trades,"Traffic,Transport, Storage and Post",Hotels and Catering Services,"Information Transmission, Computer Services and Software",Financial Intermediation,Unnamed: 103,Real Estate,Leasing and Business Services,Scientific Research and Technical Service,"Management of Water Conservancy, Environment",Services to Households and Other Services,Education,Health and Social Work,"Culture, Sports and Entertainment","Public Management, Social Security and Social Organization",Average Number of Employed Staff and Workers (10 000 persons),Total Wage Bill of Employed Staff and Workers (10 000 yuan),Average Wage of Employed Staff and Workers (yuan),Regular Institutions of Higher Education,Vocational Secondary Schools,Regular Secondary Schools,Regular Primary Schools,Regular Institutions of Higher Education.1,Vocational Secondary Schools.1,Regular Secondary Schools.1,Regular Primary Schools.1,Undergraduate in Regular HEIs,Vocational Secondary Schools.2,Regular Secondary Schools.2,Regular Primary Schools.2,Collections of Public Libraries (10 000 copies),Number of Museums (unit),Number of Stadiums and Gymnasiums (unit),Number of Hospitals (unit),Number of Beds of Hospitals (bed),Number of Licensed (Assistant) Doctors (person),Number of Employees Joining Urban Basic Pension Insurance,Number of Employees Joining Urban Basic Medical Care System,Persons Covered of Unemployment Insurance,Investment in Municipal Public Infrastructure Construction （10 000 yuan）,Area of City Paved Roads at Year-end （10 000 sq.m）,Length of City Sewage Pipes （km）,Number of Buses and Trolley Buses under Operation at Year-end （unit）,Total Annual Volume of Passengers Transported by Buses and Trolley Buses （10 000 person-times）,Number of Taxis under Operation at Year-end （unit）,Highway Passenger Traffic,Waterway Passenger Traffic,Civil Aviation Passenger Traffic,"Highway Freight Traffic
(10 000 tons)","Waterway Freight Traffic
(10 000 tons)",Civil Aviation Freight Traffic (ton),Revenue from Postal Services (10 000 yuan),Revenue from Telecommunication Services (10 000 yuan),Number of Subscribers of Mobile Telephones at Year-end (10 000 households),Number of Subscribers of Internet Services (10 000 households),Annual Electricity Consumption (10 000 kwh),Electricity Consumption fbr Industrial,Household Electricity Consumption for Urban and Rural Residential,"Total Gas Supply (Coal Gas,Natural Gas) (10 000 cubic meters)",Consumption of Gas for Residential Use,Liquefied Petroleum Gas Supply (ton),Consumption of Liquefied Petroleum Gas fbr Residential Use
53,宿迁市,Suqian,591,591,152,75666,47307,4.8,8524,273200,94.0,22.0,4.37,9638.0,1277.0,44.0,5500.0,8486.0,6559.0,8642.0,66.2,53.0,87.9,100.0,27507200,55906,6.8,10.94,46.52,42.55,2061999.0,4335422.0,117461.0,757369.0,1077087.0,1818330.0,50272.0,278260.0,27466918,13447836,25636107,2530410,2066147,723,669,227,581566,94,37684,1669,1577,43,49,13253900,11450520,57971,89635,2718300,8338163,395,9481297,,,15531.0,8488.0,250.0,441158,606400,11200,82,290597,150479,0.02,65.87,34.11,82,,,142655,2250,145692,12678,8955,2171,3169,4409,4393,5389,8363,2458,7800,291,41138,16280,1456,35922,42,2705368,65088,3,17,188,168,1071,3069,17920,26926,20843,47765,26,54,171,6,12,229,28108,12169,642300,569900,351021,123377.0,2060.0,1795.0,1091.0,14155.0,1091.0,4762.0,,,4476.0,2430.0,,190988.0,374002.0,465.0,148.0,1920504,1238351,138412,20737.0,3014.0,5866.0,5816.0
54,中山市,Zhongshan,177,166,49,33184,9944,13.14,1784,231100,,,,,,,7044.0,3233.0,9894.0,5609.0,85.67,33.0,,,36327013,110585,5.9,1.7,49.01,49.3,3152264.0,4378919.0,410488.0,703493.0,,,,,59304923,26428979,40363878,6972228,5081295,737,562,364,5399063,584,52716,3212,2301,577,334,28726550,9122754,243012,1417843,2199510,14907874,1143,16140050,45119.0,602720,49041.0,34114.0,8165.0,763362,1020299,10887,,552200,211162,,72.34,27.66,,,,514708,4150,33342,31971,14101,12881,5582,17074,,23679,11863,5063,3627,2755,33056,21255,2255,26000,74,5508724,74484,5,11,103,208,1944,1834,11391,15941,56996,23243,16,31,258,7,70,62,15685,8800,1763430,2782258,1540294,,,,,,,1401.0,134.0,,15327.0,1313.0,,443774.0,673774.0,685.0,180.0,2930124,1876591,106691,,,,
55,汕头市,Shantou,569,567,129,93408,27395,11.59,2199,,248.0,100.0,11.89,,4239.0,44.27,6631.0,10192.0,5866.0,2181.0,95.88,27.0,96.44,98.0,25120504,44672,6.9,4.4,50.8,44.8,1315246.0,3271013.0,39795.0,830271.0,726802.0,2335597.0,26722.0,716987.0,35396673,23258002,19449999,4477490,2887895,478,433,315,1469627,105,9637,1988,1773,142,73,,,,,2366329,17696265,903,15884342,,,17949.0,12651.0,408.0,589514,,18875,376,339031,250107,0.06,57.51,42.43,376,140,140,189073,4586,145232,29624,14939,6721,5509,19695,19422,12697,18286,3880,3671,1066,63905,26157,3343,40614,56,3824494,38899,2,24,305,745,958,1935,33103,22331,21610,51168,36,55,443,11,7,48,16283,10469,1069651,569921,858995,170354.0,2730.0,2915.0,2165.0,10671.0,616.0,1635.0,,,6087.0,841.0,19200.0,409873.0,490000.0,603.0,152.0,2093623,1313895,197642,6108.0,922.0,199762.0,155837.0
56,遂宁市,Suining,365,368,139,39289,54361,-4.13,5322,126820,83.0,23.0,4.43,6351.0,795.0,34.13,1060.0,1404.0,2110.0,737.0,87.0,36.0,90.73,100.0,12213914,37493,8.81,13.56,46.28,40.16,638447.0,2522120.0,13268.0,424769.0,406200.0,1365334.0,10085.0,192778.0,15719762,11171039,10406701,1722344,1431653,681,610,46,113495,7,4042,539,520,7,12,3967228,5271219,167897,424569,1383107,5707262,259,2454318,5547.0,82359,2293.0,1392.0,88.0,204551,284089,31436,,101410,103141,,49.58,50.42,,455,,33955,5174,61826,6856,3903,926,2371,6592,4289,7468,2086,860,1362,180,27037,14963,1600,26937,17,1206886,71498,1,14,158,196,608,1397,11314,11537,13389,21364,13,18,96,3,7,43,13822,6962,740215,288281,120325,,1434.0,961.0,271.0,9056.0,753.0,2303.0,31.0,,4669.0,85.0,,29446.0,514028.0,275.0,68.0,476803,216248,78504,21143.0,7033.0,,
57,自贡市,Zigong,323,323,110,30187,22573,2.36,4381,154853,124.0,41.0,8.65,4642.0,1513.0,42.5,867.0,1832.0,2858.0,1321.0,97.56,54.0,70.53,96.8,14067131,48329,8.7,10.77,46.47,42.76,604091.0,2422700.0,35490.0,382716.0,439550.0,1560577.0,34065.0,186925.0,17087609,11459004,10104035,2093092,1582180,388,331,74,108852,8,1097,535,524,2,9,5667900,3444600,102100,360000,655027,6262553,205,3608243,5437.0,109506,2698.0,1458.0,193.0,205479,416058,20344,614,85108,119757,0.3,41.42,58.28,614,1037,992,28427,2774,52870,4397,12034,2341,2858,9511,8506,4226,4755,3983,2846,689,27110,17748,1726,25533,16,1258383,78652,2,19,139,121,2000,1189,8780,9635,39868,24241,13,17,57,4,15,72,16868,4857,445654,398700,150775,285064.0,1728.0,59.0,880.0,17128.0,1108.0,3642.0,48.0,,5772.0,126.0,,55367.0,192752.0,265.0,60.0,408469,174669,100044,24212.0,10995.0,,
58,湖州市,Huzhou,267,267,87,24981,19966,1.88,5820,522577,124.0,38.0,7.92,5391.0,1686.0,46.36,8280.0,18757.0,32234.0,14289.0,99.64,36.0,96.91,100.0,27190675,90304,8.05,4.7,46.84,48.46,2870960.0,3975433.0,157795.0,699078.0,1216618.0,1844635.0,58303.0,295032.0,45140784,21213667,38715321,5232974,4018419,809,723,184,1141488,218,127143,3049,2667,206,176,24104877,,291916,1167039,2577169,12972390,780,25934137,,,37284.0,18672.0,1831.0,473725,1451606,17118,158,298124,175443,0.03,62.93,37.03,158,796,661,170605,9044,117679,14045,9114,9269,4263,23084,21165,6539,6318,4626,3948,334,33270,21549,1987,37097,41,3306475,81617,3,12,120,128,1653,2077,10133,9248,26941,28306,11,17,275,29,42,62,13598,8847,1518181,1351800,771668,298224.0,2686.0,2355.0,1340.0,5727.0,883.0,5242.0,98.0,,11504.0,7279.0,,52509.0,364639.0,503.0,193.0,2748017,2034719,170313,27419.0,3674.0,5228.0,3166.0
59,唐山市,Tangshan,758,757,230,76772,30699,6.08,14198,215500,238.0,67.0,5.69,9518.0,3173.0,41.51,7877.0,88388.0,160683.0,227824.0,74.41,60.0,98.6,100.0,69549700,87855,7.3,7.09,54.89,38.02,4324347.0,7492880.0,89057.0,1451959.0,2816348.0,4553489.0,72250.0,788891.0,93697719,59510741,55317926,3782273,3004575,648,572,161,2802690,23,170068,1712,1623,26,63,39271971,,631656,2391252,6510000,27435816,460,15779187,,1149000,9409.0,5308.0,723.0,786018,459916,36026,14758,344368,426892,1.88,43.81,54.31,14758,81154,78940,199485,24435,39294,29024,45574,3162,6806,50760,47306,8671,16008,5178,15365,652,93753,46420,4503,101016,69,5261385,74569,11,64,332,1131,6863,6818,31937,33056,133291,74997,37,52,310,18,51,203,35979,22677,2368678,1682807,926500,159844.0,3679.0,2803.0,2130.0,20700.0,3507.0,2863.0,,57,44150.0,1780.0,1192.0,195342.0,532489.0,1002.0,220.0,7955282,6577123,236105,85316.0,8469.0,18327.0,16947.0
60,天水市,Tianshui,372,371,100,53981,24069,8.04,14277,172328,56.0,11.0,0.96,1960.0,693.0,38.95,328.0,2657.0,3197.0,2038.0,58.61,40.0,93.34,100.0,6520542,19479,6.4,13.97,30.68,55.36,466327.0,2913421.0,11027.0,616002.0,360458.0,1356937.0,9327.0,252690.0,13356815,9420284,9577000,1026818,770420,134,108,80,181531,,,177,175,,2,2294277,2920651,15131,55883,106498,2698140,171,1584980,3251.0,81410,1639.0,607.0,34.0,223900,207320,14959,8845,69975,145080,3.95,31.25,64.8,8845,474,353,33288,6156,30057,9421,4434,2829,2830,5522,3301,3701,647,5677,2708,323,41577,16614,1653,47144,18,1164691,63194,4,19,253,598,1801,1647,18596,16995,38820,21884,21,25,99,10,8,77,12438,5484,235613,257884,137358,285742.0,653.0,359.0,818.0,15213.0,2521.0,3568.0,,18,4379.0,,97.0,41915.0,160434.0,345.0,80.0,365527,110565,49687,8018.0,1388.0,2165.0,2154.0
61,阳江市,Yangjiang,300,298,77,49854,9235,13.55,7956,1418300,72.0,30.0,2.9,2888.0,821.0,41.8,892.0,12683.0,21445.0,10164.0,95.49,31.0,95.24,100.0,13503149,52969,4.1,16.24,34.36,49.4,626165.0,2262148.0,27673.0,358617.0,428795.0,1315494.0,19532.0,191710.0,13831404,8687432,10025183,1416142,1110985,412,386,149,305685,82,76349,546,468,57,21,4211467,,58751,346524,1088733,7490080,229,2383497,,,4186.0,3274.0,51.0,200780,319011,12444,4116,70993,125671,2.05,35.36,62.59,4116,115,,23325,4782,42771,9522,6869,2620,3145,6422,4657,4692,2734,1904,4162,356,32454,15527,1292,33972,19,1251403,66999,1,5,113,150,484,575,10915,15010,10719,13722,14,25,112,3,3,57,10929,5631,413141,293128,175931,46482.0,1088.0,630.0,334.0,4100.0,124.0,1574.0,8.0,,10186.0,46.0,,91480.0,193658.0,279.0,72.0,1198466,852965,103713,2950.0,1589.0,280080.0,276953.0
62,太原市,Taiyuan,377,373,122,47818,10731,9.84,6988,,339.0,100.0,22.6,13398.0,4493.0,44.67,,,,,,,,,38844778,88272,9.2,1.06,37.05,61.9,3732275.0,5424589.0,250447.0,808097.0,1219493.0,1723040.0,17227.0,357086.0,120195000,47674600,124917400,5317602,3992414,843,774,103,4255974,13,,436,418,3,15,25197875,,574452,950627,899956,18119042,752,40038560,12907.0,5193678,,,,1040361,1013505,51429,1581,456825,581955,0.15,43.91,55.94,1581,84417,78473,194620,34440,143348,48792,125941,15854,20434,51485,51485,14705,26227,42650,20520,3997,82833,46866,14026,67625,100,8042900,80825,46,78,227,441,24008,6510,19689,19014,444121,107145,20,31,732,15,46,163,37296,23018,1504247,1599468,976166,,6172.0,1431.0,2521.0,36775.0,8292.0,,,1359,,,53400.0,243300.0,536883.0,737.0,197.0,2915041,1860678,354052,115641.0,36352.0,42230.0,5670.0
63,鄂尔多斯市,Erdos,162,162,69,20849,8403,7.67,86882,292200,118.0,27.0,4.66,11828.0,1967.0,42.39,3174.0,42392.0,49510.0,16450.0,43.02,23.0,98.2,98.93,37632100,181486,5,3.13,52.33,44.55,4334585.0,5864781.0,34890.0,629157.0,1981904.0,2135873.0,7436.0,218321.0,37539750,19314550,32266929,,,,,,243801,12,211295,402,,,,34212209,,1829900,2081211,7061498,7024030,281,14316647,5399.0,289256,2248.0,1456.0,81.0,300322,504061,19650,2163,123027,175132,0.72,40.97,58.31,2163,57224,5147,43228,12092,10483,7011,11560,2160,3605,13513,9481,5326,9189,3996,10063,152,28025,11504,2046,66982,27,2525777,95287,4,11,70,136,998,1304,8216,10141,11182,14414,8,16,264,10,,96,10300,6074,462241,416276,241655,6214.0,2859.0,2195.0,535.0,5072.0,2610.0,625.0,,248,21337.0,,9984.0,36000.0,199000.0,252.0,47.0,6574996,6049818,98069,11213.0,2831.0,2470.0,2150.0
64,大连市,Dalian,595,595,215,50181,48267,0.32,13244,246800,421.0,120.0,8.03,19805.0,4094.0,46.67,12907.0,14893.0,26361.0,17655.0,90.65,30.0,90.16,100.0,76684823,109550,6.5,5.77,42.27,51.96,7039857.0,10014898.0,356622.0,1107497.0,6008458.0,8327834.0,354167.0,850186.0,134850580,60399697,113459615,6885138,5144580,776,702,675,28467948,219,267846,1677,1132,98,447,49105859,27284525,2044811,1306651,5033871,38800542,1285,41877735,60064.0,1666829,21605.0,10557.0,2614.0,986288,1370029,66873,7955,367562,610771,0.81,37.27,61.93,7955,1444,1354,305318,16089,44711,47970,55659,14676,69292,70869,70731,39448,34414,18251,11074,4004,90658,59056,8264,87136,92,8051552,87592,30,75,295,447,17972,4208,21939,19630,279945,60729,23,33,2522,10,50,178,45129,21721,2104436,3824274,1555867,1001584.0,5909.0,3472.0,5795.0,92707.0,11645.0,7469.0,444.0,927,29753.0,13242.0,75487.0,355286.0,843574.0,894.0,181.0,3693036,2327906,362269,66994.0,21743.0,453503.0,25469.0
65,定西市,Dingxi,304,304,87,47640,22868,8.14,19609,,25.0,6.0,0.69,591.0,353.0,26.4,144.0,8458.0,4805.0,2468.0,99.42,39.0,94.34,98.89,3562609,12656,6.3,18.41,22.04,59.55,240574.0,2509407.0,9637.0,494318.0,40874.0,409468.0,652.0,73618.0,8605583,5952125,7418227,581828,380596,112,108,73,7522,,,147,146,1,,1233227,1910443,6625,22888,33781,1310519,69,790282,504.0,12278,816.0,327.0,24.0,131359,79490,6415,942,28591,101826,0.72,21.77,77.52,942,448,,9342,3729,15072,2231,2797,1006,1180,3794,2587,1650,897,1482,2743,103,34355,12041,1400,36147,13,842138,66545,,19,160,643,,1754,16879,12667,,14360,15,19,83,8,18,48,12185,5133,109302,162668,91307,,285.0,152.0,108.0,1016.0,588.0,2120.0,,,4384.0,,,19300.0,134507.0,244.0,60.0,459267,258107,24092,,,1265.0,1150.0
66,南阳市,Nanyang,1238,1236,366,133777,33906,8.07,26509,585161,158.0,47.0,7.4,7524.0,1645.0,37.56,2922.0,4551.0,10428.0,8687.0,79.31,60.0,97.7,97.1,35667734,35519,7.4,14.69,41.36,43.95,1818980.0,6486481.0,99620.0,1348463.0,709694.0,1629297.0,32780.0,316870.0,40982915,29196947,23442099,2201219,1740523,728,641,126,273700,4,62662,1966,1929,25,12,12655891,,346941,441408,1138911,20003003,1034,6200889,13889.0,323204,7928.0,4713.0,397.0,774000,866388,25523,2923,288813,482264,0.38,37.31,62.31,2923,12037,95,146804,14811,115161,23988,23409,5059,4393,40570,11541,9347,13307,13010,13616,1622,153457,72334,5375,102777,71,4082965,57453,6,80,531,1791,5091,4287,52923,57067,90554,87265,76,124,196,20,64,126,38292,18907,809781,849743,647271,384958.0,2166.0,1487.0,998.0,6795.0,1800.0,10212.0,66.0,91,21281.0,1046.0,114.0,260010.0,3153000.0,913.0,179.0,2314663,1230601,258264,13780.0,3383.0,14507.0,14479.0
67,河源市,Heyuan,373,309,101,57310,21325,9.65,15654,1256126,,,,1579.0,434.0,42.34,650.0,1966.0,,3600.0,80.99,,,100.0,10060027,32530,6.3,10.71,38.33,50.96,769518.0,3349373.0,75356.0,664558.0,282974.0,710623.0,34027.0,127280.0,13761916,7862580,11541687,2213388,1803215,502,466,168,553500,636,66017,617,394,,,4714853,,78876,239540,504172,6287201,272,2018047,,,5308.0,2530.0,101.0,289010,412179,9100,683,135664,152663,0.24,46.94,52.82,683,428,29,114159,3163,17914,7429,7082,3225,3389,10661,8553,8382,6221,1771,2442,3357,38457,14999,1591,43657,28,1943208,68940,1,16,193,364,540,1540,19274,16566,12347,28746,19,31,196,8,8,56,8927,5992,772890,348904,302580,,536.0,461.0,281.0,3867.0,483.0,3617.0,37.0,,6842.0,19.0,,20741.0,195041.0,249.0,71.0,898403,531189,99257,2999.0,1070.0,29007.0,29001.0
68,黄冈市,Huanggang,741,743,251,103022,34179,9.3,17457,847045,55.0,17.0,15.19,1203.0,390.0,41.54,,,,,,,79.15,96.87,20352000,32124,7.2,18.48,40.88,40.64,1392448.0,4826328.0,94062.0,899889.0,73970.0,208320.0,4396.0,30563.0,33228190,22634100,15853778,2386614,1836612,649,604,226,12876,9,5360,1448,1402,32,14,6532677,5677116,104151,201852,766892,12050476,524,3656442,6575.0,130827,5553.0,2138.0,125.0,787320,284675,20641,17603,468305,301412,2.24,59.48,38.28,17603,8210,190,213112,9010,237973,37387,11600,10609,6366,24975,23610,14094,11227,4335,7045,2474,64654,35910,5207,65529,75,3525156,47091,4,26,299,680,1987,2372,22314,23133,41921,45319,30,44,270,23,5,68,22108,12776,909075,480174,232925,45120.0,463.0,415.0,363.0,1971.0,693.0,9408.0,227.0,,10511.0,3562.0,,126600.0,302200.0,467.0,113.0,1225956,656591,167613,5177.0,1618.0,2685.0,2100.0
69,邯郸市,Handan,1058,1054,270,144759,43563,9.57,12065,78500,182.0,73.0,6.83,8260.0,3211.0,42.76,2591.0,45278.0,67187.0,61141.0,80.0,68.0,98.41,100.0,34545705,36289,6.55,9.07,45.1,45.83,2433970.0,6259998.0,53089.0,1193602.0,1262860.0,2735805.0,23538.0,522672.0,56536953,39474055,36613895,4236240,3097995,370,318,60,70088,23,111460,1285,1262,15,8,24675547,32073684,272014,1275038,3111483,16868433,354,7667156,8820.0,338483,6537.0,3910.0,304.0,625059,486782,64123,596,235204,389259,0.1,37.63,62.28,596,45615,22359,86774,24638,78177,16941,26175,3482,4846,41021,36618,4199,9588,8973,15784,1105,107008,45575,4675,99887,56,3514731,62696,5,63,405,1692,3706,5698,42447,58597,65427,86323,64,107,209,13,22,265,37986,23482,1532251,942277,709758,151526.0,4167.0,555.0,2830.0,15025.0,5994.0,4652.0,,76,23321.0,,1005.0,135840.0,441285.0,958.0,174.0,4070411,2923230,179115,53766.0,21023.0,358.0,353.0
70,广州市,Guangzhou,928,913,306,170997,52293,12.8,7434,747559,,,,147048.0,30189.0,45.13,14020.0,5052.0,16593.0,8118.0,81.1,35.0,95.53,100.0,228593471,155491,6.2,0.98,27.27,71.75,16342242.0,25061818.0,1636655.0,4408209.0,16342242.0,25061818.0,1636655.0,4408209.0,526474721,160420619,397644356,27019323,17466618,1550,1138,823,42040898,5376,661108,4675,3284,751,640,99067099,,4297060,4549468,13994685,92561873,6910,312475473,,,173124.0,89826.0,10797.0,3486454,,180883,1363,1057553,2427538,0.04,30.33,69.63,1363,,,743799,34596,279157,312008,326077,129380,218077,102631,102631,221591,239653,144193,71200,29219,271888,132960,32704,195957,331,37005944,111839,82,82,527,965,62732,7866,43519,57160,1086407,184094,51,106,2922,,,255,86011,54134,7835244,7519504,6087077,6485652.0,18743.0,24239.0,15103.0,229120.0,22457.0,25725.0,55.0,8913,82032.0,42608.0,1370800.0,5181081.0,3597872.0,4008.0,544.0,9369013,4351567,1218993,210419.0,36991.0,656206.0,346088.0
71,梅州市,Meizhou,548,549,147,82943,25668,10.45,15865,1145900,54.0,23.0,1.77,2667.0,799.0,42.96,,,,,99.0,30.0,100,100.0,11102133,25367,2.4,17.67,32.13,50.2,970878.0,4451363.0,82364.0,773781.0,455225.0,1451695.0,35340.0,240973.0,21328742,13478880,11716989,2587470,1985517,410,377,176,173198,2640,5026,473,424,37,12,4210185,,423813,268041,435395,7264873,180,2805301,,32388,3238.0,2018.0,338.0,300518,199354,12983,220,115925,184373,0.07,38.58,61.35,220,887,756,56636,10432,47970,10979,7300,2180,4452,11445,7191,3526,2822,3495,6810,226,54664,25123,1937,49414,28,2031231,72469,1,21,230,450,1269,1478,22346,19971,25018,27308,23,35,307,8,46,46,12616,9546,804217,480084,333599,,374.0,407.0,1753.0,4860.0,413.0,3016.0,11.0,51,8812.0,12.0,199.0,100129.0,1267800.0,442.0,105.0,991057,524147,137979,2990.0,,4900.0,4900.0
72,巴中市,Bazhong,368,372,130,43418,20856,6.13,12293,716800,,,,639.0,,,113.0,2254.0,2342.0,1865.0,83.22,33.0,73.2,78.3,6458842,19458,8,15.21,48.99,35.8,454404.0,3158814.0,4941.0,491921.0,140196.0,895664.0,1272.0,155984.0,12475877,9139656,7164316,1569933,1061438,410,352,47,8100,1,500,307,305,1,1,893293,1227621,79613,145813,315392,3214471,325,2023420,729.0,16769,1502.0,599.0,24.0,339218,201743,15809,2343,180573,156302,0.69,53.23,46.08,2343,4641,240,38192,2715,135025,11620,8310,9489,4624,6117,4836,6758,3822,1695,1821,1874,40169,17700,3520,38783,19,1155669,59637,1,18,217,203,393,1314,14975,15620,5455,27239,19,20,139,11,3,78,14253,6543,324711,202015,128514,,425.0,883.0,253.0,3850.0,792.0,2318.0,98.0,,3863.0,,,55583.0,177215.0,295.0,70.0,339950,102064,54852,11800.0,9423.0,3975.0,2804.0
73,湘潭市,Xiangtan,289,289,96,29569,16266,4.61,5006,201500,80.0,27.0,12.27,3363.0,888.0,45.81,2568.0,14746.0,14526.0,36683.0,93.79,49.0,96.14,100.0,21613580,75609,7.8,5.79,48.21,46,1262598.0,3074651.0,116084.0,388390.0,616036.0,725539.0,57883.0,79083.0,21323919,13321212,17922163,2399256,1892430,436,386,62,643741,13,136051,971,942,13,16,7841658,5149210,168058,421131,1771728,6679576,335,4631072,15515.0,407076,5436.0,2972.0,647.0,342702,208380,13217,113,179270,163319,0.03,52.31,47.66,113,346,88,62524,3505,112895,29506,5956,2184,1793,18632,17782,5279,4990,3563,5224,159,31305,19984,2407,32337,28,1897409,66887,10,23,166,372,7420,1232,9167,8504,136049,21096,12,15,156,5,13,68,15435,7530,658198,489018,335015,20615.0,2342.0,1212.0,1266.0,12815.0,1744.0,1340.0,9.0,,7901.0,708.0,,50280.0,213744.0,294.0,88.0,1201821,807258,96132,16140.0,4830.0,17100.0,17100.0
74,运城市,Yuncheng,513,,170,56450,19459,7.21,14183,132286,42.0,14.0,3.49,623.0,623.0,37.21,,,,,,60.0,,,15096407,28229,7,14.95,36.83,48.22,807408.0,3378723.0,18367.0,617829.0,197217.0,611978.0,2189.0,64000.0,22787948,16856830,11572100,1039382,822822,286,271,128,497703,8,,498,485,1,12,11927309,12033075,134736,464402,1234044,7922875,302,4628801,5902.0,160810,2392.0,1425.0,131.0,345590,483499,,1704,115274,228612,0.49,33.36,66.15,1704,4779,,78669,8781,23045,10377,8826,1328,4081,24092,21845,1149,4743,3278,5812,1144,59542,27520,4757,71963,31,1916662,62232,7,45,318,814,2529,2650,28119,22128,53351,44059,25,30,151,23,11,267,21117,12486,610600,493500,345500,,,423.0,642.0,7400.0,4659.0,2668.0,,205,16076.0,,5000.0,90600.0,261478.0,475.0,25.0,3111527,2407536,140185,10721.0,4704.0,,
75,莆田市,Putian,360,357,98,75051,18891,15.59,4131,320500,95.0,49.0,4.15,4069.0,1158.0,44.93,2911.0,2986.0,6060.0,965.0,84.57,27.0,93.5,99.3,22424134,77325,8.27,5.18,52.62,42.2,1409651.0,2279854.0,32205.0,582966.0,1165046.0,1782377.0,30942.0,437025.0,17858701,12038826,18475257,3582171,2681926,410,349,156,1463415,37,12630,1203,1049,108,46,9033355,11166149,220612,573250,2920662,7634220,1239,15539907,7100.0,273615,6148.0,2912.0,158.0,564082,1051284,8496,480,396734,166868,0.09,70.33,29.58,480,794,794,234071,2874,158995,28633,6508,4417,3646,12245,11472,5679,14437,2123,3007,2568,41048,14290,2279,25988,52,3362659,65050,2,16,142,567,907,1147,14449,14480,25434,24248,18,27,99,7,67,49,11299,5801,439901,322209,222629,614499.0,1392.0,1927.0,1145.0,7174.0,828.0,2346.0,288.0,,5569.0,413.0,,203852.0,398528.0,317.0,104.0,1443751,916762,101150,11408.0,1216.0,13750.0,11505.0
76,通辽市,Tongliao,316,318,124,23955,16363,2.4,59629,354854,63.0,14.0,1.96,2489.0,960.0,42.16,2031.0,39320.0,42795.0,19778.0,54.35,33.0,98.24,99.66,13016000,41573,4.1,20.78,26.51,52.7,754852.0,3753581.0,11453.0,515796.0,105930.0,440838.0,427.0,81622.0,11323900,7425800,9818400,634076,490803,175,156,142,23800,3,315,205,196,3,6,5192823,,,,620679,5636511,172,1746448,,,,,,241785,399878,18009,34778,52927,154080,14.38,21.89,63.73,34778,5559,382,27349,13895,6124,5734,7419,1313,4010,8490,4961,4234,6937,3723,7244,340,41610,18820,2385,41821,24,1594040,66727,,22,140,220,,1194,12591,14150,,11140,16,17,121,7,35,85,12167,7533,540130,334400,183000,83842.0,1226.0,650.0,457.0,5086.0,3059.0,1285.0,,98,11377.0,,1800.0,38600.0,210991.0,384.0,62.0,4176800,3770125,74898,2459.0,1033.0,473.0,355.0
